id,title,company,department,skills_required,description,location,remote,stipend_min_inr,stipend_max_inr,duration_weeks,url,date_posted,role_level,sector
11,Business Analyst Intern,Bharat Forge,Data Science / Analytics,Python;Power BI;Excel;SQL,"Business Analyst Intern at Bharat Forge. Work on projects, mentored by senior staff. Required skills: Python, Power BI, Excel, SQL.","London, UK",False,15000,15000,24,https://careers.example.com/bharatforge/11,2025-05-28,Internship,Public
12,Content Marketing Intern,Cambridge University,Marketing / Business,Excel;Social Media;Market Research;Content Writing;SEO;Google Analytics,"Content Marketing Intern at Cambridge University. Work on projects, mentored by senior staff. Required skills: Excel, Social Media, Market Research, Content Writing, SEO, Google Analytics.","Chennai, IN",False,5000,5000,4,https://careers.example.com/cambridgeuniversity/12,2025-04-22,Entry,Startup
13,Kitchen Intern,Byju's,Culinary / Food,Plating;Kitchen Safety;Food Prep,"Kitchen Intern at Byju's. Work on projects, mentored by senior staff. Required skills: Plating, Kitchen Safety, Food Prep.","Hyderabad, IN",False,20000,25000,20,https://careers.example.com/byjus/13,2026-02-04,Junior,NGO
14,Investment Research Intern,Kotak Mahindra Bank,Finance / Accounting,Tally;QuickBooks;SAP;Accounting,"Investment Research Intern at Kotak Mahindra Bank. Work on projects, mentored by senior staff. Required skills: Tally, QuickBooks, SAP, Accounting.","Lucknow, IN",False,30000,40000,24,https://careers.example.com/kotakmahindrabank/14,2025-06-21,Junior,Private
15,Editorial Intern,Apple,Humanities / Journalism,Editing;Interviewing,"Editorial Intern at Apple. Work on projects, mentored by senior staff. Required skills: Editing, Interviewing.","Hyderabad, IN",False,0,5000,8,https://careers.example.com/apple/15,2025-03-30,Internship,Academic
16,Reporting Intern,Marriott International,Humanities / Journalism,Research;Fact-checking;Copywriting;Interviewing,"Reporting Intern at Marriott International. Work on projects, mentored by senior staff. Required skills: Research, Fact-checking, Copywriting, Interviewing.","Ahmedabad, IN",False,30000,32000,6,https://careers.example.com/marriottinternational/16,2026-01-26,Junior,Public
17,UI/UX Design Intern,Google for Startups,Design / UX,Sketch;Prototyping;Visual Design;Figma,"UI/UX Design Intern at Google for Startups. Work on projects, mentored by senior staff. Required skills: Sketch, Prototyping, Visual Design, Figma.","Ahmedabad, IN",False,3000,8000,16,https://careers.example.com/googleforstartups/17,2025-11-05,Entry,Private
18,Textile Intern,VIT,Fashion / Textile,Pattern Making;Illustrator,"Textile Intern at VIT. Work on projects, mentored by senior staff. Required skills: Pattern Making, Illustrator.","Jaipur, IN",False,3000,3000,16,https://careers.example.com/vit/18,2025-07-26,Internship,Academic
19,Analytics Intern,Zee Entertainment,Data Science / Analytics,Pandas;Excel;Tableau;Data Visualization;Python;SQL,"Analytics Intern at Zee Entertainment. Work on projects, mentored by senior staff. Required skills: Pandas, Excel, Tableau, Data Visualization, Python, SQL.","Ahmedabad, IN",True,20000,25000,16,https://careers.example.com/zeeentertainment/19,2025-08-05,Entry,NGO
20,Baking Intern,HUL,Culinary / Food,Recipe Development;Baking,"Baking Intern at HUL. Work on projects, mentored by senior staff. Required skills: Recipe Development, Baking.",Remote,True,30000,35000,10,https://careers.example.com/hul/20,2025-06-02,Entry,Private
21,Finance Intern,Ola,Finance / Accounting,Financial Modeling;Valuation,"Finance Intern at Ola. Work on projects, mentored by senior staff. Required skills: Financial Modeling, Valuation.","Jaipur, IN",False,0,10000,8,https://careers.example.com/ola/21,2025-09-01,Junior,Public
22,Design Intern,AngelList,Fashion / Textile,Sewing;Pattern Making;Fashion Sketching,"Design Intern at AngelList. Work on projects, mentored by senior staff. Required skills: Sewing, Pattern Making, Fashion Sketching.","Toronto, CA",False,30000,40000,12,https://careers.example.com/angellist/22,2025-11-20,Entry,Private
23,Content Creator Intern,VIT,Arts / Media,Photography;Adobe Premiere;Video Editing;Photoshop,"Content Creator Intern at VIT. Work on projects, mentored by senior staff. Required skills: Photography, Adobe Premiere, Video Editing, Photoshop.","Sydney, AU",True,10000,15000,16,https://careers.example.com/vit/23,2026-03-11,Internship,Public
24,Aerospace Intern,Bain & Company,Aviation / Aerospace,Maintenance Protocols;Flight Ops;Technical Documentation;Aircraft Systems,"Aerospace Intern at Bain & Company. Work on projects, mentored by senior staff. Required skills: Maintenance Protocols, Flight Ops, Technical Documentation, Aircraft Systems.","Kolkata, IN",False,30000,35000,16,https://careers.example.com/bainandcompany/24,2025-09-06,Junior,Startup
25,Case Worker Intern,FabIndia,NGO / Social Work,Case Management;Monitoring & Evaluation;Community Outreach;Grant Writing;Fundraising;SQL,"Case Worker Intern at FabIndia. Work on projects, mentored by senior staff. Required skills: Case Management, Monitoring & Evaluation, Community Outreach, Grant Writing, Fundraising, SQL.","Sydney, AU",True,20000,20000,8,https://careers.example.com/fabindia/25,2025-09-07,Internship,NGO
26,Marketing Intern,Meta Platforms,Marketing / Business,Social Media;Communication;Excel;Market Research;Google Analytics;Branding;Site Visits,"Marketing Intern at Meta Platforms. Work on projects, mentored by senior staff. Required skills: Social Media, Communication, Excel, Market Research, Google Analytics, Branding, Site Visits.","Toronto, CA",False,30000,50000,8,https://careers.example.com/metaplatforms/26,2026-01-22,Entry,Public
27,Clinical Support Intern,Al Jazeera,Veterinary / Animal Care,Clinical Support;Vaccination;Animal Handling;Grooming;Assessment Design,"Clinical Support Intern at Al Jazeera. Work on projects, mentored by senior staff. Required skills: Clinical Support, Vaccination, Animal Handling, Grooming, Assessment Design.","Toronto, CA",False,10000,15000,8,https://careers.example.com/aljazeera/27,2025-12-10,Internship,Private
28,Field Intern,Stanford University,Public Health / Epidemiology,Health Promotion;Data Analysis;Field Surveys;Surveillance;POS,"Field Intern at Stanford University. Work on projects, mentored by senior staff. Required skills: Health Promotion, Data Analysis, Field Surveys, Surveillance, POS.","Hyderabad, IN",False,0,0,4,https://careers.example.com/stanforduniversity/28,2026-02-12,Junior,NGO
29,Editorial Intern,JSW Sports,Humanities / Journalism,Copywriting;Fact-checking;Reporting;Research;Interviewing;Editing,"Editorial Intern at JSW Sports. Work on projects, mentored by senior staff. Required skills: Copywriting, Fact-checking, Reporting, Research, Interviewing, Editing.","Bengaluru, IN",False,20000,25000,12,https://careers.example.com/jswsports/29,2025-09-19,Junior,Startup
30,Product Design Intern,Manipal Hospitals,Design / UX,Illustrator;Wireframing;Sketch;Figma;Visual Design;User Research;Adobe XD,"Product Design Intern at Manipal Hospitals. Work on projects, mentored by senior staff. Required skills: Illustrator, Wireframing, Sketch, Figma, Visual Design, User Research, Adobe XD.","Ahmedabad, IN",False,8000,10000,16,https://careers.example.com/manipalhospitals/30,2025-06-02,Junior,NGO
31,Clinical Support Intern,Jawaharlal Nehru University,Veterinary / Animal Care,Vaccination;Animal Handling;Grooming,"Clinical Support Intern at Jawaharlal Nehru University. Work on projects, mentored by senior staff. Required skills: Vaccination, Animal Handling, Grooming.","Thane, IN",False,15000,25000,20,https://careers.example.com/jawaharlalnehruuniversity/31,2025-08-02,Internship,Academic
32,Research Intern,Oxford University,Research / Policy,Quantitative Analysis;Literature Review;SPSS;Qualitative Methods,"Research Intern at Oxford University. Work on projects, mentored by senior staff. Required skills: Quantitative Analysis, Literature Review, SPSS, Qualitative Methods.","London, UK",False,10000,12000,12,https://careers.example.com/oxforduniversity/32,2026-01-02,Internship,Private
33,Graphic Design Intern,Red Chillies Entertainment,Arts / Media,Storyboarding;Photoshop;Content Creation;Video Editing;Adobe Premiere,"Graphic Design Intern at Red Chillies Entertainment. Work on projects, mentored by senior staff. Required skills: Storyboarding, Photoshop, Content Creation, Video Editing, Adobe Premiere.","Lucknow, IN",False,3000,23000,24,https://careers.example.com/redchilliesentertainment/33,2025-04-26,Internship,Academic
34,Quality Intern,Stanford University,Manufacturing / Mechanical,Assembly;CAD;Quality Control;MATLAB;Merchandising,"Quality Intern at Stanford University. Work on projects, mentored by senior staff. Required skills: Assembly, CAD, Quality Control, MATLAB, Merchandising.","Delhi NCR, IN",False,15000,30000,20,https://careers.example.com/stanforduniversity/34,2025-07-16,Junior,NGO
35,Machine Learning Intern,Khan Academy,Computer Science / AI,C++;Machine Learning;PyTorch,"Machine Learning Intern at Khan Academy. Work on projects, mentored by senior staff. Required skills: C++, Machine Learning, PyTorch.","Chennai, IN",False,25000,40000,12,https://careers.example.com/khanacademy/35,2025-09-08,Entry,Academic
36,Chef Intern,CSIR,Culinary / Food,Food Prep;Kitchen Safety,"Chef Intern at CSIR. Work on projects, mentored by senior staff. Required skills: Food Prep, Kitchen Safety.","Kolkata, IN",False,25000,27000,8,https://careers.example.com/csir/36,2026-02-01,Internship,Startup
37,Chef Intern,Mphasis,Culinary / Food,Recipe Development;Baking;Negotiation,"Chef Intern at Mphasis. Work on projects, mentored by senior staff. Required skills: Recipe Development, Baking, Negotiation.","Kolkata, IN",False,25000,45000,16,https://careers.example.com/mphasis/37,2025-10-05,Internship,Startup
38,Content Creator Intern,BBC,Arts / Media,Video Editing;Photoshop;Adobe Premiere;Storyboarding,"Content Creator Intern at BBC. Work on projects, mentored by senior staff. Required skills: Video Editing, Photoshop, Adobe Premiere, Storyboarding.","Thane, IN",False,10000,20000,10,https://careers.example.com/bbc/38,2025-06-27,Internship,Startup
39,Academic Assistant,Netflix,Education / Teaching,Subject Knowledge;Lesson Planning,"Academic Assistant at Netflix. Work on projects, mentored by senior staff. Required skills: Subject Knowledge, Lesson Planning.","Sydney, AU",False,30000,35000,24,https://careers.example.com/netflix/39,2025-06-29,Internship,Academic
40,Hotel Operations Intern,India Today,Hospitality / Tourism,Food & Beverage;Event Coordination;Guest Service;Housekeeping,"Hotel Operations Intern at India Today. Work on projects, mentored by senior staff. Required skills: Food & Beverage, Event Coordination, Guest Service, Housekeeping.","Hyderabad, IN",False,10000,25000,20,https://careers.example.com/indiatoday/40,2025-05-09,Entry,Private
41,Fitness Intern,Ernst & Young,Sports / Coaching,Fitness Training;Plan Design;Coaching,"Fitness Intern at Ernst & Young. Work on projects, mentored by senior staff. Required skills: Fitness Training, Plan Design, Coaching.","Ahmedabad, IN",False,25000,27000,16,https://careers.example.com/ernstandyoung/41,2025-04-17,Junior,Academic
42,Survey Intern,Unacademy,Public Health / Epidemiology,Data Analysis;Health Promotion;Field Surveys,"Survey Intern at Unacademy. Work on projects, mentored by senior staff. Required skills: Data Analysis, Health Promotion, Field Surveys.","Mumbai, IN",False,10000,15000,8,https://careers.example.com/unacademy/42,2025-06-13,Internship,NGO
43,Business Development Intern,Axis Bank,Marketing / Business,SEO;Communication;Content Writing,"Business Development Intern at Axis Bank. Work on projects, mentored by senior staff. Required skills: SEO, Communication, Content Writing.","Dehradun, IN",False,25000,40000,4,https://careers.example.com/axisbank/43,2025-06-26,Junior,Academic
44,Web Developer Intern,"National Museum, India",Web Development,REST APIs;JavaScript;MongoDB;CSS;Node.js;HTML;Express;Prototyping,"Web Developer Intern at National Museum, India. Work on projects, mentored by senior staff. Required skills: REST APIs, JavaScript, MongoDB, CSS, Node.js, HTML, Express, Prototyping.","Berlin, DE",False,10000,15000,4,https://careers.example.com/nationalmuseumindia/44,2025-12-09,Entry,Startup
45,Research Assistant,Deloitte,Research / Policy,Qualitative Methods;SPSS;Policy Briefs,"Research Assistant at Deloitte. Work on projects, mentored by senior staff. Required skills: Qualitative Methods, SPSS, Policy Briefs.","Hyderabad, IN",False,30000,40000,20,https://careers.example.com/deloitte/45,2025-09-12,Internship,Public
46,Tutorial Assistant,Tanishq (Tata),Education / Teaching,Subject Knowledge;Lesson Planning;Classroom Management;Assessment Design;Communication;TAP (Teaching Assistant),"Tutorial Assistant at Tanishq (Tata). Work on projects, mentored by senior staff. Required skills: Subject Knowledge, Lesson Planning, Classroom Management, Assessment Design, Communication, TAP (Teaching Assistant).","Thane, IN",False,5000,5000,8,https://careers.example.com/tanishqtata/46,2025-08-07,Entry,Startup
47,Computer Vision Intern,Urban Company,Computer Science / AI,C++;PyTorch;Java;SQL;Data Analysis;Python;TensorFlow,"Computer Vision Intern at Urban Company. Work on projects, mentored by senior staff. Required skills: C++, PyTorch, Java, SQL, Data Analysis, Python, TensorFlow.","Ahmedabad, IN",True,15000,25000,8,https://careers.example.com/urbancompany/47,2026-01-02,Internship,Public
48,Case Assistant Intern,IIT Delhi,Law / Legal,Case Briefing;Contract Review,"Case Assistant Intern at IIT Delhi. Work on projects, mentored by senior staff. Required skills: Case Briefing, Contract Review.","Bengaluru, IN",False,25000,35000,16,https://careers.example.com/iitdelhi/48,2025-06-20,Internship,Private
49,Graphic Design Intern,Adobe,Arts / Media,Content Creation;Video Editing;Coaching,"Graphic Design Intern at Adobe. Work on projects, mentored by senior staff. Required skills: Content Creation, Video Editing, Coaching.","Goa, IN",False,25000,40000,24,https://careers.example.com/adobe/49,2025-12-28,Junior,Public
50,Machine Learning Intern,IIT Roorkee,Computer Science / AI,Deep Learning;Computer Vision,"Machine Learning Intern at IIT Roorkee. Work on projects, mentored by senior staff. Required skills: Deep Learning, Computer Vision.",Remote,True,0,20000,6,https://careers.example.com/iitroorkee/50,2025-05-12,Internship,Private
51,Grooming Intern,DHL,Veterinary / Animal Care,Clinical Support;Vaccination,"Grooming Intern at DHL. Work on projects, mentored by senior staff. Required skills: Clinical Support, Vaccination.","London, UK",False,8000,18000,10,https://careers.example.com/dhl/51,2025-10-07,Junior,Private
52,Flight Ops Intern,Bengaluru FC,Aviation / Aerospace,Technical Documentation;Aircraft Systems,"Flight Ops Intern at Bengaluru FC. Work on projects, mentored by senior staff. Required skills: Technical Documentation, Aircraft Systems.","Berlin, DE",False,25000,40000,20,https://careers.example.com/bengalurufc/52,2026-03-08,Junior,Public
53,Architectural Intern,ISRO,Architecture / Civil,Revit;Construction Drawings;AutoCAD;SketchUp;Site Visits,"Architectural Intern at ISRO. Work on projects, mentored by senior staff. Required skills: Revit, Construction Drawings, AutoCAD, SketchUp, Site Visits.","Berlin, DE",False,0,5000,8,https://careers.example.com/isro/53,2026-01-13,Internship,NGO
54,Reporting Intern,Raymond,Humanities / Journalism,Editing;Fact-checking;Reporting,"Reporting Intern at Raymond. Work on projects, mentored by senior staff. Required skills: Editing, Fact-checking, Reporting.","Dehradun, IN",False,20000,20000,10,https://careers.example.com/raymond/54,2025-11-02,Entry,Academic
55,Graphic Design Intern,Infosys,Arts / Media,Adobe Premiere;Video Editing;Storyboarding;Photography,"Graphic Design Intern at Infosys. Work on projects, mentored by senior staff. Required skills: Adobe Premiere, Video Editing, Storyboarding, Photography.","Toronto, CA",False,3000,13000,4,https://careers.example.com/infosys/55,2025-03-26,Junior,Academic
56,Program Intern,HSBC,NGO / Social Work,Community Outreach;Monitoring & Evaluation;Case Management;Grant Writing;Fundraising,"Program Intern at HSBC. Work on projects, mentored by senior staff. Required skills: Community Outreach, Monitoring & Evaluation, Case Management, Grant Writing, Fundraising.",Remote,True,10000,25000,4,https://careers.example.com/hsbc/56,2025-07-18,Junior,Private
57,Chef Intern,FabIndia,Culinary / Food,Baking;Food Prep;Recipe Development,"Chef Intern at FabIndia. Work on projects, mentored by senior staff. Required skills: Baking, Food Prep, Recipe Development.","Toronto, CA",False,20000,30000,6,https://careers.example.com/fabindia/57,2026-03-09,Junior,Startup
58,Sales Intern,Delhi Public School,Retail / Sales,POS;Negotiation;Customer Service,"Sales Intern at Delhi Public School. Work on projects, mentored by senior staff. Required skills: POS, Negotiation, Customer Service.","Sydney, AU",False,15000,25000,12,https://careers.example.com/delhipublicschool/58,2025-04-15,Entry,Startup
59,Frontend Intern,Fortis Healthcare,Web Development,JavaScript;React,"Frontend Intern at Fortis Healthcare. Work on projects, mentored by senior staff. Required skills: JavaScript, React.","New York, USA",False,5000,25000,16,https://careers.example.com/fortishealthcare/59,2025-06-08,Entry,Public
60,Frontend Intern,IIT Madras,Computer Science / AI,Java;NLP,"Frontend Intern at IIT Madras. Work on projects, mentored by senior staff. Required skills: Java, NLP.","Berlin, DE",True,15000,30000,16,https://careers.example.com/iitmadras/60,2025-04-01,Internship,Private
61,M&E Intern,Mahindra & Mahindra,NGO / Social Work,Grant Writing;Fundraising,"M&E Intern at Mahindra & Mahindra. Work on projects, mentored by senior staff. Required skills: Grant Writing, Fundraising.",Singapore,False,5000,10000,4,https://careers.example.com/mahindraandmahindra/61,2025-09-22,Internship,Public
62,Culinary Assistant Intern,Mumbai Indians (IPL),Culinary / Food,Kitchen Safety;Baking,"Culinary Assistant Intern at Mumbai Indians (IPL). Work on projects, mentored by senior staff. Required skills: Kitchen Safety, Baking.","Hyderabad, IN",True,30000,50000,24,https://careers.example.com/mumbaiindiansipl/62,2026-01-10,Entry,Academic
63,Production Intern,Urban Company,Manufacturing / Mechanical,Assembly;CAD;Quality Control;PLC;MATLAB,"Production Intern at Urban Company. Work on projects, mentored by senior staff. Required skills: Assembly, CAD, Quality Control, PLC, MATLAB.",Remote,True,25000,40000,6,https://careers.example.com/urbancompany/63,2026-01-26,Entry,NGO
64,Coaching Intern,IIT Kanpur,Sports / Coaching,Athlete Monitoring;Fitness Training;Plan Design,"Coaching Intern at IIT Kanpur. Work on projects, mentored by senior staff. Required skills: Athlete Monitoring, Fitness Training, Plan Design.",Singapore,False,20000,30000,12,https://careers.example.com/iitkanpur/64,2025-12-20,Entry,Academic
65,Sales Intern,PricewaterhouseCoopers,Retail / Sales,Merchandising;Sales Outreach;Customer Service,"Sales Intern at PricewaterhouseCoopers. Work on projects, mentored by senior staff. Required skills: Merchandising, Sales Outreach, Customer Service.","Lucknow, IN",False,5000,5000,10,https://careers.example.com/pricewaterhousecoopers/65,2025-05-13,Junior,Academic
66,CAD Intern,ITC Hotels,Architecture / Civil,SketchUp;Site Visits;Construction Drawings;Revit,"CAD Intern at ITC Hotels. Work on projects, mentored by senior staff. Required skills: SketchUp, Site Visits, Construction Drawings, Revit.","London, UK",True,8000,10000,12,https://careers.example.com/itchotels/66,2025-05-02,Entry,NGO
67,Audit Intern,Khaitan & Co,Finance / Accounting,Financial Modeling;Tally;SAP;Valuation;Accounting;Excel,"Audit Intern at Khaitan & Co. Work on projects, mentored by senior staff. Required skills: Financial Modeling, Tally, SAP, Valuation, Accounting, Excel.","Mumbai, IN",False,30000,35000,12,https://careers.example.com/khaitanandco/67,2025-11-21,Internship,Academic
68,Production Intern,Biocon,Manufacturing / Mechanical,Assembly;MATLAB;PLC;CAD,"Production Intern at Biocon. Work on projects, mentored by senior staff. Required skills: Assembly, MATLAB, PLC, CAD.","Goa, IN",False,15000,17000,20,https://careers.example.com/biocon/68,2026-03-02,Entry,Public
69,Editorial Intern,Save the Children,Humanities / Journalism,Editing;Fact-checking;Copywriting;Research;Reporting;Interviewing;CSS,"Editorial Intern at Save the Children. Work on projects, mentored by senior staff. Required skills: Editing, Fact-checking, Copywriting, Research, Reporting, Interviewing, CSS.","Pune, IN",False,8000,18000,6,https://careers.example.com/savethechildren/69,2025-09-20,Internship,Academic
70,Program Intern,VIT,NGO / Social Work,Monitoring & Evaluation;Case Management;Community Outreach;Express,"Program Intern at VIT. Work on projects, mentored by senior staff. Required skills: Monitoring & Evaluation, Case Management, Community Outreach, Express.","Delhi NCR, IN",True,25000,45000,20,https://careers.example.com/vit/70,2026-01-21,Entry,Academic
71,Maintenance Intern,Bengaluru FC,Aviation / Aerospace,Aircraft Systems;Technical Documentation,"Maintenance Intern at Bengaluru FC. Work on projects, mentored by senior staff. Required skills: Aircraft Systems, Technical Documentation.","Delhi NCR, IN",False,25000,35000,6,https://careers.example.com/bengalurufc/71,2025-06-08,Junior,Public
72,Frontend Intern,INTACH,Web Development,REST APIs;CSS;React;Bootstrap;HTML,"Frontend Intern at INTACH. Work on projects, mentored by senior staff. Required skills: REST APIs, CSS, React, Bootstrap, HTML.","Thane, IN",False,3000,3000,20,https://careers.example.com/intach/72,2025-04-23,Entry,NGO
73,Chef Intern,Stanford University,Culinary / Food,Recipe Development;Kitchen Safety;Market Research,"Chef Intern at Stanford University. Work on projects, mentored by senior staff. Required skills: Recipe Development, Kitchen Safety, Market Research.","Ahmedabad, IN",False,20000,20000,10,https://careers.example.com/stanforduniversity/73,2026-02-06,Junior,Private
74,Procurement Intern,India Today,Logistics / Supply Chain,ERP;TMS;Route Planning;Inventory Control;Warehouse Management,"Procurement Intern at India Today. Work on projects, mentored by senior staff. Required skills: ERP, TMS, Route Planning, Inventory Control, Warehouse Management.","Toronto, CA",False,10000,25000,24,https://careers.example.com/indiatoday/74,2025-11-03,Entry,Academic
75,Fitness Intern,Manipal Hospitals,Sports / Coaching,Plan Design;Fitness Training;Athlete Monitoring;Coaching,"Fitness Intern at Manipal Hospitals. Work on projects, mentored by senior staff. Required skills: Plan Design, Fitness Training, Athlete Monitoring, Coaching.","Kolkata, IN",False,0,2000,16,https://careers.example.com/manipalhospitals/75,2025-04-24,Entry,NGO
76,Urban Planning Intern,Oberoi Hotels,Architecture / Civil,SketchUp;Site Visits;Construction Drawings;AutoCAD;Revit,"Urban Planning Intern at Oberoi Hotels. Work on projects, mentored by senior staff. Required skills: SketchUp, Site Visits, Construction Drawings, AutoCAD, Revit.","Dehradun, IN",False,25000,40000,16,https://careers.example.com/oberoihotels/76,2025-09-14,Entry,NGO
77,Site Intern,Godrej,Architecture / Civil,AutoCAD;Construction Drawings;Revit;Site Visits;SketchUp,"Site Intern at Godrej. Work on projects, mentored by senior staff. Required skills: AutoCAD, Construction Drawings, Revit, Site Visits, SketchUp.","Jaipur, IN",True,30000,45000,4,https://careers.example.com/godrej/77,2025-09-28,Junior,NGO
78,Site Intern,Boeing India,Architecture / Civil,AutoCAD;Revit;SketchUp;Construction Drawings;Excel,"Site Intern at Boeing India. Work on projects, mentored by senior staff. Required skills: AutoCAD, Revit, SketchUp, Construction Drawings, Excel.","Thane, IN",False,30000,40000,6,https://careers.example.com/boeingindia/78,2025-06-15,Internship,Academic
79,Business Analyst Intern,Swiggy,Data Science / Analytics,Tableau;Pandas;CSS,"Business Analyst Intern at Swiggy. Work on projects, mentored by senior staff. Required skills: Tableau, Pandas, CSS.","Bengaluru, IN",False,20000,20000,8,https://careers.example.com/swiggy/79,2025-06-02,Internship,Private
80,Tutorial Assistant,Narayana Health,Education / Teaching,TAP (Teaching Assistant);Subject Knowledge;Classroom Management;Lesson Planning;Communication;Assessment Design;Case Management,"Tutorial Assistant at Narayana Health. Work on projects, mentored by senior staff. Required skills: TAP (Teaching Assistant), Subject Knowledge, Classroom Management, Lesson Planning, Communication, Assessment Design, Case Management.","Hyderabad, IN",True,20000,40000,4,https://careers.example.com/narayanahealth/80,2025-05-27,Junior,Startup
81,Fitness Intern,Google,Sports / Coaching,Coaching;Athlete Monitoring;Fitness Training;Grooming,"Fitness Intern at Google. Work on projects, mentored by senior staff. Required skills: Coaching, Athlete Monitoring, Fitness Training, Grooming.","Sydney, AU",False,5000,7000,16,https://careers.example.com/google/81,2025-03-28,Junior,Private
82,Product Design Intern,Smile Foundation,Design / UX,Adobe XD;Sketch;User Research;Figma;Wireframing,"Product Design Intern at Smile Foundation. Work on projects, mentored by senior staff. Required skills: Adobe XD, Sketch, User Research, Figma, Wireframing.","Bengaluru, IN",False,10000,25000,10,https://careers.example.com/smilefoundation/82,2025-11-05,Entry,NGO
83,Sales Intern,National Centre for Biological Sciences (NCBS),Retail / Sales,POS;Sales Outreach,"Sales Intern at National Centre for Biological Sciences (NCBS). Work on projects, mentored by senior staff. Required skills: POS, Sales Outreach.","Delhi NCR, IN",False,5000,7000,10,https://careers.example.com/nationalcentreforbiologicalsciencesncbs/83,2025-04-01,Entry,Startup
84,Content Creator Intern,Kokilaben Dhirubhai Ambani Hospital,Arts / Media,Adobe Premiere;Storyboarding;Photography,"Content Creator Intern at Kokilaben Dhirubhai Ambani Hospital. Work on projects, mentored by senior staff. Required skills: Adobe Premiere, Storyboarding, Photography.",Singapore,False,5000,20000,12,https://careers.example.com/kokilabendhirubhaiambanihospital/84,2025-06-16,Entry,Academic
85,Paralegal Intern,FedEx,Law / Legal,Citations;Legal Research;Drafting;Case Briefing,"Paralegal Intern at FedEx. Work on projects, mentored by senior staff. Required skills: Citations, Legal Research, Drafting, Case Briefing.","Goa, IN",False,3000,5000,12,https://careers.example.com/fedex/85,2025-04-03,Junior,Private
